case_id,유형,입력채널,평가용_제시문구,문구_성격,참고_출처,기대판단,주의_신호,검증_목적,검수상태
R01,정상,문자,"[Web발신][전남광주 통합특별시청 청년정책과] 2026년 서구 청년 천원복비 지원사업 신청 - 중개보수 최대 30만원 지원, 본인부담금은 단 1천원 - 2026년 7~12월 접수, 예산 소진 시 조기 종료 ☞ https://m.site.naver.com/2dNkw",실제 수신 문자,전남광주 통합특별시청 청년정책과,정상,단축URL|예산소진 조기종료|금액 언급,★ 정상 지자체 문자가 네이버 단축 URL 을 쓴다. 단축 URL 을 위험 신호로 잡으면 여기서 오판이 난다.,1차검수
R02,정상,문자,"[Web발신][전남광주 통합특별시청 청년정책과] 광주청년 일경험드림 제20기 참여청년 모집 - 다양한 일경험과 직무교육, 생활임금 지급 기회 - 7월 15일 17시까지 신청 ☞ https://m.site.naver.com/2bD7j",실제 수신 문자,전남광주 통합특별시청 청년정책과,정상,단축URL|마감시각 명시|금전 지급 언급,'생활임금 지급' 이라는 금전 표현과 마감 압박이 함께 있는 정상 문자.,1차검수
R03,정상,문자,[Web발신][광주광역시청 청년정책과] 광주광역시 군복무 청년 상해보험 지원! - 군복무 중 사고·질병 발생 시 보험금 지원 - 보장기간 2026. 1. 20. ~ 2027. 1. 19. ☞ https://m.site.naver.com/20gCn,실제 수신 문자,광주광역시청 청년정책과,정상,단축URL|보험금 지원,보험금이라는 금융 어휘가 포함된 정상 공공 문자.,1차검수
R04,정상,문자,[Web발신] 동명 - 11월 추천 프로그램 알림. 11월 5일 취업멘토링 페스타 개최. 사전등록 후 행사 당일 참여시 스타벅스 쿠폰 선착순 100명. 신청 : 홈페이지 로그인 후 신청 https://jobstation.co.kr,실제 수신 문자,광주청년일자리스테이션 동명,정상,선착순 100명|경품 제공|로그인 유도,'선착순' 과 '로그인 후 신청' 이 함께 있는 정상 문자. 사칭 패턴과 표면이 비슷하다.,1차검수
R05,정상,문자,"[Web발신] 2025 취업 멘토링 페스타 개최. 취업을 준비하는 청년이라면 절대 놓칠 수 없는 기회! 스탬프 투어 참여 시 선물이 팡팡! 사전 등록 후 행사 참여자 선착순 100명에게 스타벅스 쿠폰 증정! 일시 2025년 11월 5일 13:00~18:00, 장소 광주광역시청 1층",실제 수신 문자,광주청년일자리스테이션 동명,정상,절대 놓칠 수 없는 기회|선착순|경품,과장 표현이 강한 정상 공공 홍보 문자.,1차검수
R06,정상,문자,"[Web발신][스테이션 동명 | 웰컴 백 이벤트] 11월 한달간 프로그램 참여하면 할수록 혜택이 팡팡! 5시간 초과 달성 시 디저트 지류쿠폰 1만원 상당, 10시간 초과 달성 시 식사 지류쿠폰 2만원 상당. 본 이벤트는 문자 수령자 한정으로 진행됩니다. 자세한건 홈페이지로 https://jobstation.co.kr",실제 수신 문자,광주청년일자리스테이션 동명,정상,문자 수령자 한정|금액 상당 경품,★ '문자 수령자 한정' 은 사칭에서 자주 쓰는 표현인데 여기서는 정상이다.,1차검수
R07,정상,문자,"(광고)[하나카드] 하나 나라사랑카드 발급받고, 최대 2만원 캐시백! 최대 2만원 캐시백 이벤트 기간 2026.7.1~9.30. 대상 가맹점 맥도날드, CU, 무신사 온라인. 카드발급월 다음달 15일까지 건당 1만원 이상 이용시 1만원 캐시백. 무료수신거부 080-890-1155",실제 수신 문자 (수신자 이름 삭제),하나카드,정상,카드 발급 유도|캐시백|금액 다수,★ 카드·금액 어휘가 밀집한 정상 금융 광고. 대출빙자형 사기와 어휘가 겹칠 수 있다.,1차검수
R08,정상,문자,"[Web발신](광고)[KT안내] 오늘이 마지막! 갤럭시 Z Fold8/Flip 8 사전예약 최대 176만원 혜택! 512GB를 256GB 가격으로 구매, 휴대폰 즉시할인 쿠폰 최대 10만원, 중고폰 최대 10만원 추가 보상. 사전예약 혜택보기 https://su.kt.co.kr/Al4dv64 [무료수신거부] 080-451-0114",실제 수신 문자,KT,정상,오늘이 마지막|단축URL|고액 언급,★ '오늘이 마지막' 긴급성 + 단축 URL 조합. 사칭 S05 와 표면 구조가 같다.,1차검수
R09,정상,문자,"[Web발신](광고)브랜드 대단지 아파트 파격이벤트 완판직전!! 마지막 기회!! 계약금 천만원으로 선호도 높은 브랜드 대단지 아파트를! 지금이 내 집 마련 절호의 찬스! 다시 없을 선착순 마지막 줍줍! 중도금 60% 전액 무이자, 계약축하금 최대 3천만원. 막판 선착순혜택 마감임박. 무료거부 0808775302",실제 수신 문자 (담당자 실명·주소 삭제),분양 광고,정상,완판직전|마지막 기회|마감임박|무이자|고액 금전,★ 긴급성 표현이 가장 강한 정상 문자. 사기가 아니라 과장 마케팅이다. 긴급성만으로 판정하면 반드시 오판한다.,1차검수
R10,정상,문자,"[Web발신](광고)[쿠팡CLS] 쿠하이어 오픈 기념 1만원 추가지급! 쿠팡알바 전용 페이지 오픈 기념. 1만원 프로모션 선점하기 https://coupa.ng/coxQ4U 혜택 1만원 추가 지급, 기간 8/6~8/12. 30초 간편 본인인증으로 안전하고 빠르게 신청하세요. 위 프로모션은 문자 수신자 한정 적용. [무료 수신 거부] 0808880585",실제 수신 문자,쿠팡CLS,정상,단축URL|본인인증 유도|문자 수신자 한정|조기종료,★★ '본인인증' + '단축 URL' + '수신자 한정' 이 모두 있는 정상 문자. 가장 사칭처럼 보이는 정상 케이스다.,1차검수
