"사례ID","분야","채널","사례내용","신뢰단서","요구행동","놓친확인요소","위험결과","오판유형","출처","발행일","사례URL","정답근거","정답근거URL"
"C01","공공지원","문자|악성앱 링크","국민지원금 신청·접수를 사칭한 정상 안내문처럼 보이는 문자로 특정 URL 클릭과 악성앱 설치를 유도한 사례다.","국민지원금 명칭|신청·접수 안내|공공기관·은행 URL 위장","URL 클릭|악성앱 설치","국민비서·공식 신청 채널|공식 앱마켓|문자 URL 포함 여부","개인정보 유출|금전 피해","권위자사칭 수용형|제목의존형","공식/대한민국 정책브리핑(KTV)·국민지원금 사칭 스미싱 주의","2021-09-09","https://www.korea.kr/news/policyNewsView.do?newsId=148892926","출처 불명 문자 링크를 클릭하지 말고 공식 채널로 확인해야 한다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000030&menuNo=205027&nttId=70081"
"C02","공공지원","문자|전화|피싱링크","코로나19 희망회복자금 대상자로 선정됐고 1년 무이자·초저금리 지원이 가능하다고 하며 전화·링크 확인을 유도한 사례다.","정부 지원금 명칭|대상자 선정|1년 무이자|초저금리","링크 클릭|전화 상담|계좌·금융정보 제공","지원금 공식 신청 창구|지원 대상·금리 조건|발신처 대표번호","개인정보 유출|예금 인출|금전 피해","권위자사칭 수용형|숫자·조건 혼동형","공식/서울특별시·희망회복자금 선정대상 문자 클릭 주의","2021-11-26","https://mediahub.seoul.go.kr/archives/2003302","문자·메신저의 출처 불명 URL과 개인정보 요구에 응하지 말고 공식 채널을 이용해야 한다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000030&menuNo=205027&nttId=70081"
"C03","공공지원","문자","‘O월에 추가 보조금이 지급되었으니 시간 내에 철회하라’며 URL을 넣은 문자","추가 보조금 지급|시간 제한|철회 요구|URL","URL 클릭|피싱사이트 접속|개인정보 입력","추가 보조금의 실제 지급 공고|지급·철회 절차|긴급성 표현의 근거","개인정보·금융정보 탈취|악성앱 설치|금전 피해","숫자·조건 혼동형","공식/관계부처합동(과학기술정보통신부·KISA 등)","2023-09-21","https://www.kmcc.go.kr/download.do?fileSeq=56892","공식 보도자료 붙임1의 KISA 제공 ‘지원금 사칭’ 문자 사례에 해당 문구와 URL이 수록되어 있음.","https://www.kmcc.go.kr/download.do?fileSeq=56892"
"C04","공공지원","유튜브 광고|인스타그램 광고|피싱사이트","부산청년기쁨두배통장을 사칭한 사이트가 기획재정부 CI·고시를 위조하고 주민등록번호·등본을 요구한 뒤 특정 계좌 납입을 유도했다.","청년 금융정책명|기획재정부 CI|위조 고시|SNS 광고","개인정보 입력|증빙서류 업로드|특정계좌 납입","운영기관 공식 누리집|정식 공고|정책상품 선납 요구 여부","개인정보 유출|금전 손실","권위자사칭 수용형|숫자·조건 혼동형","공식/한국인터넷진흥원(KISA)·청년대상 금융상품 피싱 주의","2024-04-17","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&categoryCode=&menuNo=205020&nttId=71415&pageIndex=1&searchCnd=&searchWrd=","출처 불명 URL을 통한 개인정보 입력·앱 설치를 중단하고 공식 채널로 확인해야 한다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000030&menuNo=205027&nttId=70081"
"C05","공공지원","문자|피싱링크","지방세징수법 제33조에 따른 예금 압류 예정과 벌금징수법에 따른 미납 벌금 조회를 내세워 URL 클릭을 유도한 스미싱 주요 사례다.","법률 조항|압류 예정 통지|미납 벌금 고지|공공기관 명칭","URL 클릭|개인정보·인증정보 입력","지자체·법원·경찰 공식 납부 경로|문자 URL 진위|대표번호 확인","개인정보 유출|금전 피해|악성앱 감염","권위자사칭 수용형|제목의존형","공식/한국인터넷진흥원(KISA)·연말연시 사이버 보안 강화 권고","2024-12-02","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&categoryCode=&menuNo=205020&nttId=71601&pageIndex=1&searchCnd=&searchWrd=","공공기관 사칭 과태료·범칙금 문자에 포함된 URL·전화번호는 클릭하지 말아야 한다.","https://www.fsc.go.kr/no010101/83034?curPage=&srchBeginDt=&srchCtgry=7&srchEndDt=&srchKey=&srchText="
"C06","공공지원","문자|피싱링크","국세청을 사칭해 환급금 또는 세무조사 제목으로 링크 클릭을 유도하는 스미싱 문자다. 국세청은 개인 휴대폰 번호로 클릭 유도 링크가 포함된 안내 문자를 보내지 않는다고 밝혔다.","국세청 명칭|환급금 통지|세무조사 제목|로고·발신번호 위장","링크 클릭|개인정보 입력|악성앱 설치","국세청 발송메시지 진위확인|확인된 발신번호·인증마크|홈택스 공식 경로","개인정보 유출|금전 피해","권위자사칭 수용형|제목의존형","공식/국세청·국세청 사칭 문자 메시지 주의 필요","2025-04-21","https://s.nts.go.kr/webtv/na/ntt/selectNttInfo.do?mi=&nttSn=1342128","출처 불명 문자 링크를 클릭하지 말고 공식 채널로 확인해야 한다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000030&menuNo=205027&nttId=70081"
"C07","공공지원","이메일","민생회복 소비쿠폰 과지급·환수 대상자라며 행정안전부와 민생회복지원금 운영센터를 사칭하고 환급 절차 신청을 유도한 피싱 이메일","행정안전부 사칭|민생회복지원금 운영센터 표기|정부기관처럼 보이는 발신주소|과지급·환수 문구","악성링크 클릭|제출 양식 다운로드|개인정보 입력|원격지원 악성프로그램 설치","행정안전부 정상 도메인 mois.go.kr|정부가 개인에게 직접 메일을 보내는지|메시지 URL 포함 여부","민감정보 탈취|악성프로그램 설치|2차 스미싱 유인","권위자사칭 수용형|숫자·조건 혼동형","공식/한국인터넷진흥원(KISA) 보호나라","2025-11-28","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=71909","KISA는 행정안전부 등이 소비쿠폰 지급·소비와 관련해 특정 개인에게 메일을 직접 발송하지 않고 메시지 안내 시 URL을 포함하지 않는다고 명시함.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=71909"
"C08","공공지원","문자","고유가 지원금을 국민지원금으로 지급한다며 정부24를 사칭한 URL 클릭과 가짜 앱 설치를 유도한 문자","정부24 명칭|국민지원금 문구|신청 안내|정상 앱 다운로드 페이지 위장","URL 클릭|PDF 뷰어 앱 설치|2차 앱 다운로드","정부24 공식 도메인|공식 지원금 문자 URL 포함 여부|공식 앱마켓 여부","휴대폰 화면정보 탈취|개인정보 유출|금전 피해","권위자사칭 수용형","공식/한국인터넷진흥원(KISA) 보호나라","2026-05-21","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=72060&pageIndex=1&searchCnd=&searchWrd=","KISA는 해당 스미싱 문자 탐지·유포와 가짜 앱을 통한 화면정보 탈취 수법을 명시했고 행안부는 고유가 피해지원금 관련 문자에 URL 링크가 포함되지 않는다고 안내함.","https://www.mois.go.kr/video/bbs/type019/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000255&nttId=125369&searchCode1="
"C09","금융","문자|전화","정부·은행·신용보증기금 등을 내세워 저금리 대환대출 또는 대환보증을 권유하고 URL·앱 설치·가상계좌 이체·신용정보 제공을 요구하는 사칭 사례.","정부 지원 대출|은행·공공기관 명칭|저금리·대환보증 조건","URL 클릭|앱 설치|가상계좌로 자금 이체|개인·신용정보 제공","대환 프로그램의 실제 대상·조건|공식 신청 경로|기관이 먼저 권유하는지 여부|이체 요구 여부","자금 편취|개인·신용정보 유출|악성앱 감염","권위자사칭 수용형|숫자·조건 혼동형","공식/금융위원회","2023-03-09","https://www.fsc.go.kr/no040101?cnId=1610","금융위는 저금리 대환 프로그램의 실제 대상·조건·공식 신청 경로를 안내하면서 정부·은행·공공기관은 전화나 문자로 대환대출·보증을 권유하지 않으며 URL·앱·가상계좌 이체·정보제공 요구는 보이스피싱·스미싱이라고 명시했다.","https://www.fsc.go.kr/no040101?cnId=1610"
"C10","금융","카카오톡·오픈채팅 리딩방|가짜 HTS·MTS","허위 수익금 사진과 수익 300% 무료 리딩 문구로 가짜 홈트레이딩 시스템에 가입시킨 뒤 허위 수익률을 보여주고 투자금 입금을 유도한 투자리딩방 사기 사례다.","고수익 보장|무료 리딩|허위 수익금 사진|투자전문가 사칭","가짜 HTS·MTS 가입|투자금 송금","금융투자업 등록 여부|공식 거래소·증권사 여부|원금·고수익 보장 주장","투자금 편취|출금 불가","과잉일반화형|제목의존형","공식/경찰청·여러분의 투자리딩방 안녕하십니까?","2024-01-03","https://www.police.go.kr/user/bbs/BD_selectBbs.do?q_bbsCode=1007&q_bbscttSn=20240103165654994","제도권 금융회사 정보는 금융감독원 금융소비자정보포털 파인에서 확인해야 한다.","https://fine.fss.or.kr/fine/main.jsp"
