case_id,입력채널,평가용_제시문구,사칭대상_제도,정답doc_URL,정답scam_URL,doc_라벨,판단근거,구_출처_URL
S01,문자,정부 생활안정지원금 대상자로 선정되었습니다. 오늘 안에 링크를 눌러 주민번호와 계좌번호를 입력하세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308,none,'생활안정지원금'은 특정 제도명이 아니라 포괄 표현,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308
S02,음성,시청 복지과입니다. 지원금 환급을 위해 안전계좌로 수수료를 먼저 보내세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4,none,안전계좌 수수료 요구 — 대응하는 제도 없음,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4
S03,링크,정부24 미수령 환급금 확인 gov24-refund-event.com,정부24 미환급금,,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299,none,미환급금 찾기 서비스는 실재하나 코퍼스에 안내문 없음,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299
S04,사진,국민연금 추가 지급 대상. 신분증 사진을 카카오톡으로 보내면 즉시 접수됩니다.,국민연금,,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=255,none,국민연금 사칭. 코퍼스에는 '국민연금 출산크레딧'만 있어 일반 안내문 부재,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=255
S05,문자,보건복지부 긴급 난방비 50만원 지급. 30분 안에 신청하지 않으면 소멸됩니다.,긴급복지 연료비 및 전기요금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001162&wlfareInfoReldBztpCd=01,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86,doc,'긴급 난방비 지급' → 실재 제도,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86
S06,음성,경찰청입니다. 사건에 연루됐으니 통화를 끊지 말고 앱을 설치하세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=37,none,경찰 수사 사칭 — 제도 아님,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=37
S07,사진,한국사회보장정보원 특별지원금 당첨. 인증비 3만원 입금 후 지급됩니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=255,none,'특별지원금 당첨'은 창작. 당첨 절차를 가진 제도가 없음,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=255
S08,링크,건강보험료 환급 신청 nhis-refund24.com,건강보험료 환급,,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=3,none,환급 제도는 실재하나 코퍼스에 안내문 없음,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=3
S09,문자,기초연금 미수령분 지급을 위해 휴대폰 인증번호를 회신하세요.,기초연금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=252,doc,기초연금 미수령분 사칭,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=252
S10,음성,금융감독원 보호조치입니다. 예금을 모두 지정 계좌로 옮겨야 합니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=60,none,금감원 예금 이전 요구 — 제도 아님,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=60
S11,문자,보건복지부 기초연금 담당자입니다. 미지급 연금 87만원이 확인되어 오늘 안에 본인 확인이 필요합니다. 아래 번호로 즉시 회신 바랍니다.,기초연금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308,doc,보건복지부 기초연금 담당자 사칭,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308
S12,문자,서울중앙지검 수사관입니다. 귀하 명의 계좌가 범죄에 이용되어 자산 보호를 위해 안전계좌로 이체가 필요합니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4,none,검찰 안전계좌 — 제도 아님,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4
S13,문자,정부 지원 저금리 대환대출 승인되셨습니다. 기존 대출을 먼저 상환하셔야 진행되오니 안내드린 계좌로 입금해 주세요.,대환대출,,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=309,none,'정부 지원 저금리 대환대출'. 코퍼스에 대환대출 안내문 없음,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=309
S14,링크,긴급재난지원금 신청이 오늘 마감됩니다. 아래 주소에서 주민등록번호와 계좌를 입력해 신청하세요.,긴급재난지원금,,https://www.kisa.or.kr/402/form?postSeq=1908&page=70,none,코퍼스에는 KISA 경보문만 있고 제도 안내문 없음,https://www.kisa.or.kr/402/form?postSeq=1908&page=70
S15,문자,민생회복 소비쿠폰 25만원이 도착했습니다. 링크를 눌러 본인인증 후 수령하세요.,민생회복 소비쿠폰,,https://www.kisa.or.kr/402/form?postSeq=2516&page=11,none,코퍼스에는 KISA 경보문만 있고 제도 안내문 없음,https://www.kisa.or.kr/402/form?postSeq=2516&page=11
S16,문자,주민센터입니다. 귀하 명의로 등본 발급이 시도되었습니다. 명의도용이 의심되니 안내하는 앱을 설치해 확인해 주세요.,주민등록등본 발급,,https://www.kisa.or.kr/402/form?postSeq=2588&page=4,none,정부24 민원. 코퍼스에 안내문 없음,https://www.kisa.or.kr/402/form?postSeq=2588&page=4
